id,created_time,message,sentiment
1693214477425109_1693447674068456,2018-03-20T00:42:46+0000,Let's teach them to not unplug the banking servers.,Neutral
1693214477425109_1697108863702337,2018-03-23T13:17:55+0000,Hi.  Can someone please PM me?,Neutral
1693214477425109_1698786743534549,2018-03-25T04:30:19+0000,I have been having issues with the banking app. A quarter of the time it doesn’t work to find out how much I have in the bank!,Neutral
1687746951305195_1692397827506774,2018-03-18T23:01:21+0000,"Dad, you’re awesome!",Positive
1687746951305195_1697438950335995,2018-03-23T20:06:06+0000,"BB&T is the worst bank to do business with.  They are crooked and sneaky like a snake in the grass!  They lock your accounts for suspected fraud for no reason at all.  They dont call you, notify you, email you, or anything.  They are pathetic.  I do not recommend anyone doing business with them!",Negative
1687746951305195_1693600224053201,2018-03-20T04:33:21+0000,Praise God .. To God Be The Glory,Positive
1687746951305195_1690088857737671,2018-03-16T18:25:53+0000,BB&T needs to offer Ripple services. It only takes 4 seconds for money to be placed into your bank account anywhere in the world with Ripple. RBC has it and they are having big success with it.  5 days too long to wait for transfers. Ripple,Positive
1687746951305195_1690272704385953,2018-03-16T22:23:30+0000,Great Job Kelly !,Positive
1687746951305195_1697135420366348,2018-03-23T13:43:30+0000,Thank you BB&T for your support of this wonderful organization!!! Proud you have been my bank for over twenty years!,Positive
1687746951305195_1695357407210816,2018-03-21T18:59:38+0000,Why am I getting neighbor spoofing phone calls from your organization?,Positive
1687746951305195_1698141493599074,2018-03-24T13:52:56+0000,"BB&T you suck, glad we left you in Feb!",Neutral
1687746951305195_1691887444224479,2018-03-18T12:05:53+0000,Love love love this story!!!,Positive
1687746951305195_1690392114374012,2018-03-17T01:31:51+0000,Great bank! Terrific story!,Positive
1687746951305195_1696039600475930,2018-03-22T12:04:40+0000,Awesome piece Manny Ohonme,Positive
1687746951305195_1692922790787611,2018-03-19T13:18:13+0000,"Proud of you, Manny Ohonme and Samaritan’s Feet. <U+2764><U+FE0F>",Positive
1687746951305195_1696800760399814,2018-03-23T05:29:05+0000,"Manny, your courage inspires!",Positive
1687746951305195_1692404707506086,2018-03-18T23:13:01+0000,Amir Biglari,Neutral
1671451502934740_1695202657226291,2018-03-21T15:46:27+0000,It’s funny how a transaction that I didn’t make suddenly is my problem and then when I call and express my frustration i get told “well did you spend the money?” This is the second time I’ve had issues with BB&T it’s embarrassing to wake up in the morning to a negative balance that wasn’t your fault. And I can’t get a credit because it’s something that I did that I DIDN’T do! I will be leaving BB&T,Negative
1671451502934740_1671859446227279,2018-02-28T02:27:17+0000,I thought everything was supposedly fixed!!! My account was still messed up today and I was going to call to see if they could get rid of the crap there that posted that wasn’t supposed to be there. I ran out of time but just looked at my account now and I have a bunch of pending transactions added that had previously posted. I only had 2 pending transactions earlier today.,Negative
1671451502934740_1672518686161355,2018-02-28T18:03:07+0000,"Funny. I get text messages with every transaction I make. I balance my checkbook everyday and I account for all pending transactions, but somehow according to customer service everything is correct. IT IS NOT. I will be changing banks today",Positive
1671451502934740_1671475052932385,2018-02-27T17:37:09+0000,"I'd like to know how do you ""make things right"" for my wife who had a serious dental appointment this past Friday and had to reschedule this appointment for yesterday because of a deposit we relied on last Thursday night.  I watched my wife suffer through the weekend because of this... Don't believe me, call Aspen Dental. Tell me, how do you seriously ""make things right"" for someone who after a fall had to have a serious oral surgery and really need to see the dentist again just three days later (last Friday). Admit it, you can't and won't ""make things right"" for something like this.",Neutral
1671451502934740_1671528256260398,2018-02-27T18:46:28+0000,"We have a total of 7 accounts between business and personal. Was it a stressful few days....yes, especially on the business end. The professionalism of the call center staff and their genuine, honest assistance was A+. BB&T staff are also account holders and they were going thru this just like we were. I remember days of getting to the bank on Friday to get cash for the weekend. We are spoiled by phone apps, ATM banking and having everything at our fingertips. Good reminder to keep some cash on hand! Thank you for helping us as best you can thru a situation that you did not anticipate and hated worse than I did I’m sure!",Positive
1671451502934740_1672397186173505,2018-02-28T15:22:36+0000,And I like how they keep saying please email us so that we can assist you! Like they are actually going to respond! PLEASE!,Positive
1671451502934740_1671479899598567,2018-02-27T17:42:51+0000,"My account access and updated transactions were available quickly. I appreciate the bank’s communications and willingness to work with customers. Oh, and I’m not an employee, just a customer of 12 years.",Positive
1671451502934740_1671467662933124,2018-02-27T17:29:19+0000,Ummmmm Saturday through Monday? I sure you hope you mean UNTIL it's fixed. My account is still in the negative and it's Tuesday!,Neutral
1671451502934740_1696224793790744,2018-03-22T15:28:35+0000,"Can someone PLEASE for the love of God give me the phone number to call to make a payment on a loan account? The online system will not accept a payment as large as what I'm trying to make and said I have to call to make it over the phone. I have wasted over 30 minutes calling every 1-800 number on the website I can find and can't get through to anyone that can help me. The automated system said to contact my local branch, which I did, and they said they couldn't help me and transferred me back to the automated system. I have never in my life had such trouble trying to give anyone money. Based on this laughable level of customer service I would NEVER bank with BB&T after this loan term ends and I would NEVER recommend BB&T to anyone else.",Neutral
1671451502934740_1674652129281344,2018-03-02T18:58:26+0000,Still waiting on the money from the overdraft in my checking seeing as I dont have overdraft and waiting for the money to back into my savings. Hoe much longer?,Positive
1671451502934740_1674552989291258,2018-03-02T16:51:01+0000,I have emailed with NO response. What sucks is that I do not even bank here. My payroll company does and it's costed me hundreds of dollars in fees because I had scheduled payments come out of the account that I'm suppose to receive my direct deposit in. Now I'm getting late fees on top of that. This is ridiculous.,Negative
1671451502934740_1673558829390674,2018-03-01T18:53:51+0000,"I’m getting incredibly frustrated.

Just a few months ago we paid an overdraft charge on an account that doesn’t even have overdraft, but decided to take the hit and pay it ourselves instead of raising a stink. This happened way before this whole fiasco started. 

Now there is money moving in and out of our account constantly and it’s impossible to manage it. The balance seen when we check the app or website isn’t our genuine balance and we’re being charged for transactions that happened last week and that we assumed had already been withdrawn from our account. Just paid them $100 or so in money overdrawn while our balance was inaccurate and not up to date, after talking to an employee at our local branch and now our account says it’s overdrawn again by $15. SO gets a paycheck tomorrow and I’m honestly scared it’s all going to disappear. 

I’m disappointed in BB&T and feel like I can’t trust them with our money anymore. Really considering changing banks because we can’t afford to have money disappear and have a transaction list not even the BB&T employee at our local branch could make heads or tails of. 

How are we supposed to know how much money we have when the balance isn’t up to date and transactions are being delayed by literal days? This is incredibly stressful and something I can’t afford.",Positive
1671451502934740_1673500036063220,2018-03-01T17:42:09+0000,"I'm in the negative now because of the ""lapse in service"", and BB&T sent back my direct deposits- telling them the account was closed.. Well, it wasn't closed, and it's not.. but it will be by tomorrow.",Negative
1671451502934740_1671954952884395,2018-02-28T05:00:14+0000,What I want to know is how they kept track of what I spent after my tax refund was deposited but yet don't have anywhere showing where the deposit was made. I have overdraft protection so if the funds weren't in the bank I wouldn't have been able to spend what I could. Now I'm negative hundreds of dollars?? Something isn't right but they will be hearing from me again first thing in the morning if my account isn't fixed and my tax refund isn't deposited! The irs says it was deposited the 22nd I'm getting beyond pissed at this point.,Positive
1671451502934740_1671913982888492,2018-02-28T03:54:11+0000,"I just got off the phone with there very unhelpful care line. BECAUSE it's saying I've got an negative balance of 658.00 WTH I ask the said there trying to rectify the problem and see where I was double charged and processing fees plus over draft fees. I've been with BB&T for dam near 4 year now with derict deposit every month for my disability widows pay. That's this Friday and I have never had one bounced check the whole time much less over draft fee totaling a whopping 658.00 dollars Exspeaily when all I receive to live off of, is 847 a month. Lord help me. I'm closing my account for good tomorrow. Because I guaranty that I want get my money back, I went through that almost 20 years ago at state employees bank where they let this fraudulent companies hit my account and take every single time in it, over 1600 dollars just disappears and their was anyway to make them replace it. Said I must have giving out my acct number would be the only way for them to do it. Trust me I didn't, but I couldn't prove prove it. So this happened during Christmas hollydays, so I could pay rent bye Christmas for my 2 kids or pay power bill or food. For a single mom I had a real had time with it because I had wrote checks on money that someone stole out of my account. So I had 827.00 0f overdraft fee, count cost plus the amounts of each checks. So that was a whole I never wanted to end up in. And once again a bank has screwed me over. Lord Lord . I wish I would have known this was going to happen again. Its a good thing my kids are grown up this time around.",Positive
1671451502934740_1671694449577112,2018-02-27T22:52:43+0000,I have a question about your ATM at the Milton Pennsylvania 17847 branch it is out of service quite a bit and I have to use another in the area that is not your bank affiliated and I have to pay a fee quite often can't you see about putting a different one in I know it is a new one but it is out of service more than in.,Positive
1671451502934740_1671490689597488,2018-02-27T17:54:58+0000,I had a couple of duplicate transactions that came and went (usually with one completed and one pending). No impact. I was one of the fortunate ones in that the problem hit the day after a scheduled direct deposit cleared.,Neutral
1671451502934740_1671468912932999,2018-02-27T17:31:01+0000,Yesterday I woke up with -93$ and today I wake up to -237$ <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> whyyyyyy!?!?!? this has been so stressful !!! my debit card shouldn’t have worked if there wasn’t enough money in there !!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0095><U+2639><U+FE0F>,Positive
1671451502934740_1671458812934009,2018-02-27T17:19:30+0000,"This is interesting, because I had 2 Fees pop up over the weekend... they disappeared... and this morning came back again.",Neutral
1671451502934740_1671495626263661,2018-02-27T18:01:43+0000,Ben doing business with this Bank long before it was BB&T  I've never had any trouble . ( since 1963 to 2018 ),Negative
1671451502934740_1674440095969214,2018-03-02T14:42:27+0000,App isn't working AGAIN today. I'm closing my accounts next week...,Positive
1671451502934740_1673657506047473,2018-03-01T21:11:04+0000,Okay...it is now thursday and my deposit from last friday still isnt posted! My teller was on phone with corporate and was told yesterday they were still finding ACH files not uploaded so thats why my deposit from ADP hasnt went thru. Will it be tomorrow bbt or am i gonna go another weekend broke due to this fiasco??,Negative
1671451502934740_1673576806055543,2018-03-01T19:20:09+0000,I have been very patient since Saturday but now I am losing my patience. My daughter sent me $108 and some change through Cash app. Something that she does on a weekly basis. I have never had a problem with her deposits until Saturday. I’ve been calling the bank since Saturday and the rep told me that the money was denied that my daughter needs to call her bank to see if it actually came out. She checked her bank account online and she also called. The money was withdrawn and they also said they don’t see anywhere where it’s being credited. I just hung up from a manager at BB&T and was told that 4 representatives gave me the wrong information when they told me on 4 different occasions that my money would be deposited.  I called every day since Sunday and each time I called I was told that the money would be deposited the next day.  Where is my money BB&T??? The transaction was approved on my daughter’s end and on my end!!!!!<ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>If it wasn’t for this BB&T’s mishap I would have my money. Why are they trying to put the blame on my daughters bank?  I even told my daughter to send me a pic of the withdrawal from her accounts.  Her bank said there is nothing for them to do on their end. I am beyond pissed at this moment.  I was also negative in my account for days!  This has been a huge inconvenience!! I want to charge BB&T $34 for insufficiency to my account every day starting on Friday!!,Positive
1671451502934740_1672296069516950,2018-02-28T13:10:52+0000,I still have some duplicate charges.. should I check on it or wait to see if bank resolves accounts.. almost afraid to pay bills..,Negative
1671451502934740_1671731126240111,2018-02-27T23:45:19+0000,Guess we gotta get the news involved again to get results,Neutral
1671451502934740_1671621096251114,2018-02-27T20:57:13+0000,You STILL have not acknowledged my deposit from Thursday Feb 22 of $499.75. Even with the transaction id provided! I cant live on your promises. I need my money!,Positive
1671451502934740_1671539142925976,2018-02-27T19:02:52+0000,Anyone having trouble with online banking today.  I can't login any accounts.,Negative
1671451502934740_1671478506265373,2018-02-27T17:41:25+0000,My accounts are back to normal....appreciate your efforts.  Been with you since 2004.,Neutral
1671451502934740_1671468846266339,2018-02-27T17:30:54+0000,How about paying me for the work I missed because you rejected a payment for my software???,Negative
1671451502934740_1672527172827173,2018-02-28T18:16:14+0000,Where are my tax returns that were supposed to be deposited on the 22 still have no information at all,Neutral
1671451502934740_1671518659594691,2018-02-27T18:31:34+0000,This is my first bank account an I’m almost 30 years old an this is the reason why smh my account is negative 1200$ an I chose to opt out of over draft because of this reason... so if it wasn’t in my account why allow me to use my card<ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><U+200D><U+2640><U+FE0F> one day it’s 1700 the next day it’s 97$ I’m so frustrated an overwhelmed at this point <ed><U+00A0><U+00BD><ed><U+00B8><U+009E> I’ll prob bank with someone else after this is resolved this is unacceptable in so many ways,Negative
1671451502934740_1671500802929810,2018-02-27T18:08:55+0000,"All of this sounds shady BB&T. My fiancé banks with you guys and I luckily don’t and I’ll make sure he moves banks as well. He had fraudulent charges made (emails were sent from Walmart.com saying 5 TVs were being shipped to some rando in Miami) this happened at 2am Friday morning, I suppose as your systems went to hell. Duplicate charges are on his account, similar to other customers that have complained and “nothing can be done because the charges are still pending”. Why is this “system malfunction” (lol you’re not fooling anyone who works in technology with that) not in the news? Why are comments getting deleted? This is people’s MONEY you’re dealing with. I hope a class action ensues. Good luck loaning out money when you lose all of your customers.",Positive
1671451502934740_1671466732933217,2018-02-27T17:28:25+0000,"Thank you for your diligence and effort to fix the issue. Sorry you had to deal with unfriendly, non understanding people. I've banked with you all for 7 years and have had no complaints. Thank you again <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>",Positive
1671451502934740_1671888699557687,2018-02-28T03:09:30+0000,"BB&T I am so upset about this. I withdrew money from my account at the bank on Saturday because I couldn’t access my money. I was told I had 500 left in that account. I then purchased dinner and some gas and woke up to being in the negative and had double charges. I also had several overdraft fees applied. I have called twice to get this all resolved and was on hold over an hour to speak to someone only to be told that they would have a supervisor would call me to get all of this corrected today at 12 PM. Guess what? No one called me. My account is still negative and no one seems to be able to fix it. I wish I had withdrawn the remaining amount from my account that day as well but no, I trusted the bank would get back on track. Never thinking the bank would take every dime I had in this account and leave me negative over 1,000.00. I think we all deserve more than an “I’m sorry”.",Positive
1671451502934740_1671606512919239,2018-02-27T20:34:19+0000,Are there other cases of people with deposits that were once available but are currently missing that still haven't been resolved as of Tuesday morning? I've spoken to 4 people now who continue to tell me to wait. This is the most frustrating banking situation I've ever encountered.,Neutral
1671451502934740_1671541722925718,2018-02-27T19:06:36+0000,"Has anyone actually received a refund for anything other than atm fees and overdraft fees? I had money reappear in my account and assumed it was my refund because they were generic atm transactions, come to find out it was just a magically disappearing and reappearing transaction and now I am overdrafted.",Positive
1671451502934740_1671752852904605,2018-02-28T00:13:30+0000,I am beyond angry...for 2 days now I have held on the phone...visited a branch. I am being told that BB&T can not fix the problem and yes it was caused by the failure of the mainframe. I have spoken with several people at BB&T and none of them say they can help me...Maybe my next call needs to be the Attorney General...I am not getting any help from what I thought was my bank :( :( :(,Negative
1671451502934740_1671661706247053,2018-02-27T21:57:46+0000,Wells Fargo will PAY you $100 if you open an account between now and March 17th.  Super nice and helpful.  I opened checking and savings accounts with NO FEE options. Just waiting for a couple more transactions to clear before I close my last account with BB&T,Positive
1671451502934740_1673276106085613,2018-03-01T13:31:26+0000,"I spent a hour on the phone yesterday trying to figure out what was going on with my account.  BBT ended up waiving the 72$ in overdraft fees only to leave me with a -175.00 which should NOT have been in the negative.  So I go to the bank and make a 180.00 cash deposit which put my account in the positive.  I thought everything was all over,  until I get home and my account is -8.00$$!!! WTF! I called BBT and they said that it was a debit transaction from 2/22! It put me back in the NEGATIVE and the customer service was horrible....basically there was nothing she could do about the debit transaction being delayed to post!!!!!!  This is insane! Also, on a side note my direct deposit didn't go through today like it was supposed too and the bank says they don't even see it pending. :( :( :( :(",Negative
1671451502934740_1671892252890665,2018-02-28T03:15:36+0000,"Today we are being debited yet again for TEN purchases that have already posted! PLEASE do something about this ASAP! I understand things happen and equipment malfunctions, but it has quickly passed the point of being an ""inconvenience"" and has instead become a cause for serious concern. It has been almost a week now.",Negative
1671451502934740_1671636486249575,2018-02-27T21:21:04+0000,It’s weird that I got an overdraft fee (109$) when my account wasn’t ever in negative. I lost money some how. I had 46$ in my account last night when I went to bed. Woke up to -128$ went in and talk to the bank an they told me the 109$ overdraft would be out back into my account but wouldn’t say anything about where my 46$ went too. I had to transfer funds so I wouldn’t be charged tomorrow for it being negative.,Negative
1671451502934740_1673068629439694,2018-03-01T08:35:34+0000,"Can Someone Please Tell The CEO/Board of Directors, Thank You. I was in a branch for something else and asked the bank manager what happened. She was very upfront about the problem. I really loved that the whole thing was handled with honesty. I also was very impressed with the level of customer service across the board considering what a mess it was to deal with. I used to be with Wells Fargo for many years. When they had their""incident"", they were horrible. No one was informed and no one would tell the customers anything.",Positive
1671451502934740_1671879176225306,2018-02-28T02:57:19+0000,"I don’t know how this isn’t news. I thought things were straight today. Husband still has a deposit missing in our joint account. Tonight, we both have a multitude of duplicated debits. I come on here and see lots of others saying the same. It’s been 5 days now. No equipment failure should result in this kind of debacle. I was planning to make a cash deposit tomorrow but may just go close the account instead. I’m seriously fed up.",Neutral
1671451502934740_1671512306261993,2018-02-27T18:23:42+0000,My account is STILL messed up. A deposit from my work was taken away last night during processing. Multiple items that were declined are now posted to my account. Instead of crediting my account for duplicate transaction reversals you took more money!!! This has gone on long enough.,Positive
1671451502934740_1672355712844319,2018-02-28T14:26:44+0000,Logged into my mortgage today expecting to see a $0 balance and it had a $45k balance.  It's ok though BBT because you had an outage.  How you guys still find customers is mind boggling.  Google BB&T reviews and you'd be hard pressed to find one single good thing said about your trash bank.,Negative
1671451502934740_1671664442913446,2018-02-27T22:00:20+0000,"We called to try to find out why our account is negative when we keep up with it all on paper to just be told nothing is wrong with the account but we are still missing money just to be told ""no you arent"". We will be pulling all the money out tomorrow and going to another bank. This is ridiculous.",Positive
1671451502934740_1671623806250843,2018-02-27T21:00:08+0000,"I’ve had this same bank account since 1997 through Susquehanna and I’m not happy. It’s been a nightmare ever since they merged, this was the last mess up for us, we are closing our account and looking elsewhere.",Negative
1671451502934740_1672396036173620,2018-02-28T15:20:59+0000,"Lmao I call BS!!! I am most certainly missing money from my account, no idea where it’s going! I called BBT yesterday and chose the option to have them call me back instead of being on hold...NEVER got a call back. Am currently on hold now, and have been for 50 minutes. I’d like to know what the hell yall are going to do to remedy this situation!",Positive
1671451502934740_1671878976225326,2018-02-28T02:56:53+0000,"Thought I was in the clear.  Account was fine this morning.  Now it's showing a transaction pending for the 3rd time.  It cleared on the 23rd, was pending last night with the accompanying reversal credit, was gone this morning and is pending again tonight, but no reversing credit. BB&T you really need to get your act together!  Enough is enough!",Positive
1671451502934740_1672126312867259,2018-02-28T09:48:28+0000,I'd like to not be randomly negative with an overdraft fee right now after the hell you've put me through to even see my accurate balance. You need to fix the problem now.,Negative
1671451502934740_1671902286222995,2018-02-28T03:33:15+0000,Mistakes happen.  While the impact of this is unfortunate I appreciate the transparency and earnestness of BB&T coming out and talking to your customers directly and apologizing.  apology accepted.,Neutral
1671451502934740_1672961476117076,2018-03-01T05:37:23+0000,"Went it to pay what negative balance I had, not knowing anything about this because noone decided to tell mecalled just now  and another ten dollars negative. I'm so mad! Give me back my money! This isn't right. Why must we suffer for a screw up that was made on bbt part. Not fair to us. And it's very convenient that this happened AFTER the first batch of tax refunds hit the accounts! I got things to pay and a child to feed. I'm already struggling in life, why make it any harder. I sincerely hope this error is fixed immediately!!!",Positive
1671451502934740_1673415396071684,2018-03-01T16:02:23+0000,"My account is still in the negative due to a duplicate transaction of $466.00.
Called the local branch and I get the run around and told ""We'll look into it""

I don't know if it's the entire company, but the local office is a joke when it comes to fixing issues. 
I'm definitely done with this bank.",Negative
1671451502934740_1687105281369362,2018-03-14T01:12:35+0000,"I've had the same problem on numerous occasions, to the point where I stopped even bothering to contact customer service because they've got me convinced that I'm crazy and never offer to do anything about it anyways. I prefer to use cash as much as possible at this point because that's easier than dealing with BB&T and will be switching banks soon. I've banked with BB&T for years and never had so many issues with overdrafting until recently. This always happens over weekends where deposits never seem to post but all other fees are so quick to be added and purchases to be subtracted. I keep track of my spending and note of pending transactions as well in order to ensure I do not overdraft. I thought I was the only one having a problem with things saying they've posted, then changing back to pending later. Then somehow when Monday comes around I hit negative and am immediately charged with outrageous overdraft fees on top of everything I spent. I don't know if I'm being charged more than once or what but I know the amounts that I'm spending and the math never seems to add up. I also ALWAYS have issues with them holding money people have Venmoed to me but when it's the other way around, it always comes out of my account immediately. It honestly makes no sense. I've called and gone to my bank in person to see if anything can be done but just like you, I'm always told that everything on my statement is correct and nothing can be done about it except for me to fork over even more money to only have a balance of $0 <ed><U+00A0><U+00BD><ed><U+00B9><U+0084> I can never get anyone to understand what I'm saying and get talked to like an idiot and explained the definition of overdraft because they don't believe me. My card is set up NOT to overdraft, if anything it should decline. Even if i do seem to get them to understand, the overdraft fee is never waived when these ""mistakes"" are made. Will this issue be resolving itself? Because I'm getting really tired of my money just disappearing into thin air and owing money due to your ""lapse"" in service.",Neutral
1671451502934740_1672632266149997,2018-02-28T20:40:38+0000,My taxes have gone missing. The IRS said it's my bank. The bank said its the IRS. None of my questions are being answered and I'm now missing a lot of money and spent my entire day playing phone tag and have gotten nowhere. I'm now in touch with my attorney and an investigation team regarding this matter.,Negative
1671451502934740_1688521754561048,2018-03-15T10:52:11+0000,"I am very upset with BB&T! 
My account was fine! And you guys charged me a return statement fee making me go $1 in the negative! Then charged me for an overdraft fee! And didn't alert me that your bank was robbing me until 4:27am (clearly not enough time to fix it)! I had the money in my savings account I could have transferred to cover the $5 that I should have never been charged! I swear y'all just create your own fees and ways to scam your customers out of money! I am transferring banks when you open! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>
You over draft my account while I was sleeping! Wtf?!",Positive
1671451502934740_1671685112911379,2018-02-27T22:37:29+0000,I am tired of hearing that BB&T is sorry for the inconvenience statement. I already set up our direct deposit with another bank and once our account is straight here we will close it.  I want to make sure I get back all overdraft and return fees first. I have been a client for 20+ years and can’t wait to get away from this awful bank. I have been spreading the word and also looking to see what else can be done. We had a large direct deposit last week and couldn’t even enjoy some of it over the weekend. Good luck to those of you who stay. I now will have free checking that will actually gain interest,Positive
1671451502934740_1672169456196278,2018-02-28T10:57:20+0000,"I just got an email from BB&T telling with the following: Our records indicate you set up a transfer to process on Thursday, Feb. 22 or Friday, Feb. 23, 2018. Unfortunately, we have experienced a system issue that duplicated your transfer. Will you please review your transaction history within account details to determine if you need to make additional transfers to reach the desired account balances?

So, BB&T... you're telling me it's my responsibility, the customer, to review my accounts and correct your mistake?  Seriously?",Positive
1671451502934740_1671501432929747,2018-02-27T18:10:01+0000,Mine was fixed yesterday but today it's back to not working. It's difficult to keep up with my account when I can't check my balance.,Neutral
1671451502934740_1673070479439509,2018-03-01T08:39:29+0000,"Also,, obviously, BB&T wasn't doing anything bad to the customer(Like W.F.) But your company did not have to tell the customers what happened either. Any how, ""Thank You"" your bank handled things well!<ed><U+00A0><U+00BD><ed><U+00B9><U+0082>",Negative
1671451502934740_1671866396226584,2018-02-28T02:39:20+0000,Once again I have duplicate pending transactions showing in my account. Everything was fine this morning and now transactions that have already been processed two days ago are pending again. When will this nightmare end?!,Positive
1671451502934740_1688239107922646,2018-03-15T03:38:01+0000,"So....... after all this, the problems created have been “fixed” by you guys, but no good faith offering has been made? The SEVERE inconvenience for thousands of people has no one concerned?? Frankly, I’m taken aback that this company has done NOTHING to make this people feel secure placing their hard earned money in your hands! How absolutely disrespectful!",Negative
1671451502934740_1671922939554263,2018-02-28T04:06:42+0000,"So, within 48 hrs the fees should be gone? I almost had a panic attack when I looked at my account just now! Also, I had previously seen duplicate transaction adjustments on my account and those are gone now too. Because an email or text wasn't sent when this first occurred, I didn't even realize anything was going on until Saturday when I took a closer look at my account. Now, it's so messed up, I just feel filled with anxiety. :(",Negative
1671451502934740_1677659762313914,2018-03-05T15:00:55+0000,"I am still waiting for a Supervisor to call me. On Feb. 28th a Supervisor credited an Overdraft Fee and a duplicate charge. The next day it ""magically"" disappeared. On March 1st a different Supervisor said I had a ""provisional"" credit and should have not spent any money. I told her it was not explained to me that it was temporary or provisional. She refused to fix my account. I asked to speak with someone above her and she said someone will call me in 24-48 hrs. I have also sent messages on my account. Oh,and by the way, I have incurred another Overdraft Fee. I only hope someone in power will get in touch with me and remedy this.",Positive
1671451502934740_1671473189599238,2018-02-27T17:35:07+0000,"So why not a couple of years ago when we were frozen in in Sweetwater, TN and surrounding Monroe County? I pleaded with the branch manager and she said no because I already had ""one"" I was like, um, it was declared a disaster and roads were blocked and travel banned. Her reply? Well I made it here....",Negative
