"text","emotion","polarity"
"i have been with this bank briefly and im not happy at all ive never been with a bank that takes days to post transactions i keep a tight eye on my account but since ive opened this account ive paid overoverdraft fees im not understanding cause ive banked with chase and bofa and have never had this many issues with overdraft fees and transaction being there and then not there and then reappearing like i wish i could say it was me and first few times i thought it was but im doing nothing different than i did with previous accounts i deposited a check today prior to cut off and a hold was placed which is cool i called the customer service number and was advised not to worry my funds would be available in the morning i check my account and there is a exceptionadministrative hold on my check never have i ever experience this so now my account is tremendously overdrawn and im waiting on a direct deposit and have things to handle im so over this bank as soon as they release my money im closing that account down i dont want anything to do with bbt im beyond livid with this bankview more","joy","neutral"
"the reason i first loved bbt was because they did not rearrange your transactions to take the largest bill out first like their competitors this all changed innow they rearrange your transactions so they can take as many overdraft fees as possible even though you had enough money forout ofof your transactions they also hold previous day overdraft fee for weeks when you call to complain they give you the classic well you should have a ledger and keep track of your account as soon as my tax return is deposited i am canceling my account i am so disappointed this once amazing company has become greedy and robbing its loyal customers blind","anger","negative"
"i went to close my account the agent advised me to take out as much as i needed but wait to close it until i switched everything to a new account they charged mea month formonths until i realized it theydidnt tell me if i didnt leaveor more in it then i would start to be charged monthly such a sneaky way to rob people i used bbt for almostyears but i will never go back","joy","negative"
"refused to give me aday payoff refused to give me my lien release i am done i will make sure they will never get a referral from me i want my lien release sent to me its not anyone elses why are you sending it to my job who had to call and get the payoff because i would have had to waitdays","sadness","negative"
"the online banking system is horrible i am constantly having to change my username and password it tells me that my password is incorrect and to call the bank to unlock the account i wait on hold forminutes for them to unlock the account i log in one time and then im locked out again im so so tired of this happening over and over again im looking for another bank","disgust","negative"
"i wish i had read the reviews about this bank earlier then i would not have to deal with this long story short and i was charged overdraft fee twice because their really slow system all the money is there never one cents short i swear while they were already charged mefirst time i called and they told me this is only one time courtesy refunded the representative told me i have already made a reversed fee to your account while on the phone with her i checked my online banking i told her i have not seen any changed she told me to log out and log back in to refresh the system so i did nothing changed she said it s already in the system she already saw it on her monitor i also asked her there will be a deducted amount money tomorrow that i already paid someone with my check is it ok for them to withdraw she said yes no problem you are fine my point is after i talked over the phone with her the all the minimum money would already be there i just found out today they charged me for the overdraft feeagain i was beyond frustrated i called them again but you can guess what came afterwards that there is no use they are not listening all they said is they cannot do anything about it she recommended me the solution just use debit card then you wont be overcharged for the fee again i told her my solution is i will get out of here and close my bank account down first thing tomorrow morning my recommendation dont even bother thinking about doing business with this bank i learned my dumb reason so dont make the same mistakes i doview more","anger","neutral"
"i am a bbt customer and have been for a many of years i have never had real issues with this bank until the chip enabled changeover of the atm machine was put in at my location i am a server and am constantly making cash deposits on a daily basis my issue is that the atm is nonfunctioningof the time leaving me unable to make the deposits that i need then charging overdraft fees the new maintenance fee just seemed to pop out of nowhere and it falls on different days of the month keeping me guessing which day it will be coming out i am just not a happy customer anymore and looking for a new bank","joy","neutral"
"if i could give this bank negative stars i would my account was hacked from out of state bbt allowed the hacker to keep making charges over a two day span putting my account into the negative when it was all said and done the hackers charged overbbt response tough luck i am a single mother who lives paycheck to paycheck every penny i have in this world i entrusted to bbt now i have to wait up todays to possibly get my money back this means i do not have money to pay my sitter my car my rent buy food for myyear old etc with no sitter i have no job with no job etci spoke with a bbt representative and then a supervisor neither cared and read to me their script how they are sorry but there is nothing we can do we understand blah blah blah you are sorry and you understand really then why are you keeping my money the customer service could not care any less than they already do i was not only raped by thethat stole my money but i was raped by the bank that i trusted to protect my money i have had minor to more major issues with bbt from not getting me my debit card to withholding funds but i have stayed with them despite my better judgment no more this latest incident is unforgivable i am a real life human being whose life you are destroying but it is clear that you do not careview moreadsbygooglewindowadsbygooglepushparams googleadchannel googleadclient capubgoogleadtype textgoogleoverrideformat truegooglecolorlink bagooglecolortext googlecolorbg fffgooglecolorurl","joy","negative"
"recently i opened a new bank account with bbt i made two deposits one in cash and one with a money order the money order deposit was made onas of this datei still dont have access to the full amount of this deposit i was told that since monday was a holiday no postings occurred and i would have to wait until after midnight to received full access to this deposit in the meantime the bank manager will not return calls to discuss releasing funds this local bank is located in the dunn loring area in vienna va if i had known this would be so complicated to get access to my own money i would have never opened an account with bbt my advice stay away from this bankadsbygooglewindowadsbygooglepushparams googleadchannel googleadclient capubgoogleadtype textgoogleoverrideformat truegooglecolorlink bagooglecolortext googlecolorbg fffgooglecolorurl","sadness","negative"
"this is a bank kill you with overdraft fees and doing very bad business practice sad part is our lawmakers allow them to charge whatever they want from customers whenever they want nobody to regulate those charges they put on consumers my experience is i hadon the checking account i made a payment using my debit card forexpecting to cover the amount then same day evening i made a another payment forbad part is i gotoverdraft fee twice one forthen the another forwhen i call them back their explanation is both payment came same time go and figure it out i have no words to explain more beware of this bank looks like bunch of crooks working in the back office i hope somebody come up with class action lawsuit against their overdraft policy i am more than happy to share my experience with themadsbygooglewindowadsbygooglepushparams googleadchannel googleadclient capubgoogleadtype textgoogleoverrideformat truegooglecolorlink bagooglecolortext googlecolorbg fffgooglecolorurl","joy","negative"
"e opened our account at one branch in fl and had huge problems for the branch putting in the wrong address in both accounts it was beyond frustrating but fixed with a different branch in the same city using the second branch we had a wonderful experience locally foryears hurricane irma destroyed most everything we had so we returned back to ny we had very little problems but opened a different bank there as the closest bbt to us was in pa shavertown we received a large wire transfer from a property of ours in italy into this account and were using it to purchase a home and literally everything you can need for a home as we were staying in a motel until we could find a home and closewe had to drive outhours on closing day to get our cashiers check as well as a cash withdrawal to help us we called ahead to be sure with id etc and questions re the account we have two different accounts with a spending limit of k each but had a lot of difficulty making online purchases the prior two days for furniture etc and there was no reason we had gotten all our info updated and straight when we arrived in pa to request our cashiers check the teller was extremely unhelpful to the point of awkward my husband brought his green card and social security card along with my id but the teller was acting suspicious and unfriendly after some time she asked for a supervisor and it was taken care of in a very painful processwe were on a time limit had just driven in blizzard conditions and were becoming very agitated but kept quiet we asked if we could have our limit put up for just a day as we needed to purchase furniture for the home both women were extremely awkward and would not give any kind of real answer we asked if we could at least withdraw an amount of cash and what the limit was but had a very suspicious response by the supervisor of what exactly were we wanting to withdraw at this point we were extremely stressed and hassled we asked of k the cashiers check and asked at least why our purchases were not going through for some stores but fine with others the teller responded professionally but was acting as if she didnt want to bother with anymore and did a very quick verification any other request she responded only with i dont know must be the store without even glancing at our accountwe finally left and i spent a lot of extra time we didnt have with work new schools getting dishes and at least beds etc going all over a new town since our credit cards were being denied by furniture stores my husband and i finally figured out that the bank was automatically stopping transactions over a certain limit we tested this by purchasing all our furniture at the stores but one smaller item end tables or cocktail table etcwe were unable to purchase anything seemingly over k but the same store credit card and info went through fine online with a smaller purchase however the bank will not verify this nor investigate what the problem is we are going once more to close the account and bring it local i dread this like the plague i cant say how much extra stress this put on a family that already had an extremely stressful past months we passed christmas still waiting in the motel to close and just get to a home sometimes you can get a great location with great people with this bank while other locations are simply horrible to deal with and actually work hard to make it more difficultview more","joy","negative"
"oday is janbetween cold weather and some things breaking in my home my accounts have dwindled a bit i have always and still do keep a very good eye on my accounts i check every day sometimes multiple times a day depending on where i swipe my card over the past couple of days i kept a very close eye as i was very close to over drafting but kept my checking in the positive last night jani checked my accounts and still seen a positive number wake up today and check to see what my paycheck was and find out i havein total overdraft fees first dated on the rd and thenmore got tacked on to me on the th if i wouldve seen the first one i wouldnt have spent what i did when i did on the thi called customer service this morning and waited forever to speak with someone when someone finally answered i ended up dropping the call immediately i called back and held again for over a half hour i then tried again and again after that i got fed up with waiting and decided to email them i am still waiting on a reply i dont understand how i ended up in the negative and then got nailed with all those overdraft fees when i checked constantly yesterday and made sure i would stay positive i also dont understand why it is so hard to get ahold of someone so i could at least be explained to what happened i would love to get at leastof thefees backi could accept one of them cause maybe somewhere along the line i missed something or miss counted but to be whacked repeatedly with a total ofin fees is ridiculous especially when i had no warning at all i even visited a bbt branch yesterday and they didnt say about my account being negative because it wasnt then all of a sudden friday rolls around and im negativedays ago and getting fees constantly i never heard of any other bank doing that to people i seen some reviews on here and apparently im not the only one getting taken over by this bank i think a class action is in order or better yet for everybody bbt needs to stop their garbage service and treat their clients betterview more","joy","negative"
"overdrafted my accountlast thursday just to have gas and food to payday mind you i only had about five left just a little person dont make a lot and i went to check my account this evening because i have direct deposit set up to be paid tonight find i have been chargedoverdraft fees ofa piece im sure they rearranged my transactions just to get every bit they can scam you out of then they tell me they can only refundof almostthey took all they said they could do was set up a case file and send it to someone higher up who could easily just say no to refunding me the majority of my paycheck pending transactions mymy bbt app knows exactly what i have in my account in real time but they cant give my hard earned money back on somepending excuse do not bank here the whole thing is a scam they do not give a damn about their customers just what they can take from you","sadness","negative"
"the company is garbage when they take payments auto withdrawal from my checking account they put it in an escrow account they leave it there until the payment ends up late and then they charge me late fees this company has rude and uneducated individuals for customer service im so sick of this company they should not be in business because of this my credit score has dropped badly and i cant refinance and go through a better company","anger","negative"
"f you are looking for the worst customer service team in the mortgagebanking business then bbt is your bank for the records we both have a credit score of overwe were putting downmoney coming out of one of our accounts in the bbt bank we were buying new construction home we had more than enough money in the bbt system to cover the mortgage balance two times over that said we spentweeks of watching them drop the ballweeks of broken promisesweeks of doing the same exercise over and over againweeks of listening to them passing the buckweeks of rescheduling movers painters and having to delay the sale of our home so we were not homeless was not all we opted for an autowithdrawal gave us a loweron the load bbt then pulled the money from the wrong account we havehadin their bank causing more issues fyi they did not ask us which account to use their massive delays and poor service caused usin penalties from the sellers their massive errors caused us fines with the moving company as they had their team ready to work and we had to canceleven todayweeks later we cannot get a confirmation of the first monthly payment taken from the wrong account i called them and they said i could pull the info from my bank account just to let you know no ones bank records can give you the interest paid the principal paid the taxes paid etc i guess they want us to run our lives like they run their bank this may be hard to believe but every word is true and can be verified do yourselves a favor use quicken loans you will be done inweeks and have a very pleasant experienceview more","joy","neutral"
"bt bank took over for national penn here in pennsylvania and it has been a disaster we were with national penn sincewith all of our personal and business accounts the branch managers dont have a clue whats going on only corporate controls everything the fees for every little thing are outrageous they are looking to steal and rob their customers with fees this bank is a scam and ini will finally shred this institution by the way who has come into the state of pennsylvania and is doing business but is not governed by pa banking laws this outfit can do whatever it wants in this state shame on you pa for letting this bank steal from pa residents im sure someone on a yacht or vacation home is literally laughing all the way to the bank stay away from this bank it will be the best business decision you will make","fear","negative"
"harged mefor amistake call the banktimes to talk with customer service with no satisfactionjust excuses very dishonest computer clears charges before deposits to maximizes nsf charges does not care about their customers","joy","negative"
"bt is the absolute worst bank that you can bank with possible i have banked with other organizations previously and have never had an experience like the one i have had with bbt this is by far the most underhanded unprofessional and unethical company i have ever dealt with a company has several unauthorized charges on my card they have let the company take out thousands of dollars out of my account which ended up in me being charged tons of unauthorized overdraft fee on my card they have refused to refund the charges and will not stop the unauthorized charges on my cardthey have now also reported my account to collections and have reported my account to the credit bureaus they also will charge youdollars for every time you call their customer service line to get the charges sorted out the staff is totally unprofessional and rude totally unsympathetic and unhelpful i will be taking these charges to court and suing this sorry excuse for a bank they have closed several branches near me without warning their customers i see this bank closing down in the very near future do not deal with them you will regret itview more","joy","negative"
"his is a horrible bank they made changes to our account that created service charges that we did not agree to their banking system is a mess we closed all our accounts with them we closed our home equity line of creditmonths ago however they never took the lien off our property now we are trying to get another loan from another bank but we cant close because bbt still hasnt taken the lien off its been over a week and no success unfortunately we may have to sue the bank to get them to correct this matter what a mess do not bank with bbt you will regret it","sadness","negative"
"we were getting ready to close out our checking acctbbt and i had checked the acct online early one morning and noticed we had been charged an acct maintenance fee i called the bank and was told our statement had been pulled on the th of the previous month and that there had not been any direct deposits to the account since then and i was calling on the th of the current month well a direct deposit had gone into the account on the th of that prior month from soc sec which was justdays after the beginning of the new month for the bank but and i still dont know how they managed to discount that deposit but they did we got charged an account maintenance fee ofand i could not close out the account until it was paid very poor business if you ask me would not refer anyone to them worst interest rates anywhere around also no wonder they are one of the largest banks in the country","joy","negative"
"i hate this bank and have since the moment they took over my old bank that i had been banking with since literally getting my first job for the minor annoyances lets start off with they use visa instead of mastercard they sent me a letter saying that because my account hadnt been used in a while that i haddays to do something to activate it or they were going to close my account now for the major annoyance when they bought out my old bank i was enrolled in online banking just so i could see my account balance upon them buying out bok they sent everyone a letter saying that everything would stay the same that was a liei havent been able to get into my account for online banking since a month after they bought out my bank im still enrolled but i cant actually access it i have changed my username and password at least three times all to get into it and every time im only able to access it once and then they want me to answer some security questions upon logging back in even though i selected the remember me option i have seriously been considering joining us bank or even an online bank because this has gone beyond nonsensical i hate this bank i hated this buyout and i cant stand trying to do anything with my debit card or online accountview more","anger","negative"
"i recently received a post card alerting me tooverdraft fees ofeach i have text and email notifications set up as well as my accounts are linked for overdraft protection i figured this must be a mistake in addition my local branch usually calls if something is coming through that would cause accounts to go in the red so again i figured this must be some mistake i log on to my account to find anotherin fees that have been charged i called and the customer service department the representative tried to help me she said i had no notifications set up when i said that i most certainly had them set up i was told well you must have deleted them no i would not delete something like that she then said let me put it in the calculator to see if we can get those fees removed well seems that i had this courtesy extended to me in january ofand therefore no one can override the calculator seriously i always got notifications why didthings go through i had a deposited check bounce that my son had written to me his account was hacked so he moved his money until it was rectified i explained this to them he had thought the check to me had already cleared it was a mistake i dont go around bouncing payments i spoke todifferent people whom all said no one can override the calculator who is this almighty calculator the great and mighty oz i will not be keeping my money with this bank after these circumstances i hope the calculator is worth losing my patronage and that of anyone and everyone i can reach with my negative review i always had notifications set up my phone number is on my online account profile i would not put it on there if i wasnt going to have notifications texted to me very frustratedview more","joy","neutral"
"my nightmare began about three years ago from todayi first received this notice from bbt that i had lateoverdraft charges to the amount ofon my mortgage i inquired at my local branch and they gave me a phone number in greenville sc they also curtly informed me that the local branch could not assist me since mortgages were handled from afar when i called the number this man answered who passed me to this woman who passed me on to three more people the last one was a man this man told me that he wasnt seeing where i had any overdraft charges added to my mortgage so i figured that the issue was resolved a month later however i received a letter informing that they were still activethis time i go into my local branch and i speak with the lady in the loan department who also knows the computer well there she goes through my files and sleuths out these withdrawals on my account and finds that somebody had misappropriated my last two mortgage payments but could not indicate as to who specifically was responsible she makes a few phone calls and after three long agonizing hours we get the issue resolved so these people informed her from greenville sc and so i understoodtwo months later i get a notice that my charges had been raised toi go back to my local branch and ask about this matter and the lady inside the loan department argues with these same people in greenville sc another two hours pass then finally they claim that they had misappropriated funds from my payment toward homeowners insurance which had gone dead due to nonpayment my big problem was the reason why they did this without my permission and why did they do so in a way to cause me problems in my mortgage after we argue in circles about this matter with no definitive answer i asked them how much i owed on the insurance payment and i was told onlyi then became very irate i demanded to know why they did not inform me that i owed onlyand waited two months when it had ran up into acharge they never gave me an answer i refused to pay until i could get answers to my questions that i felt i was owed i kept on making payments however on time and every month now three years later they are refusing my payments they say in one letter that i only owe two thousand dollars in another letter they will say that i am five thousand overdue then finally they claim that i am behindthousand dollars only to claimthousand the following monthwe are at the point now that they are telling us next month they are going to file foreclosure against us even though we have made every payment up until the time that they refused to take our payments i call their central number today and the man tells me that there is a notice of foreclosure listed but no specified month day or timeview more","sadness","negative"
"i have been with this bank since they bought out bank atlantic never have i had a problem till the other day i deposit my check into my account and the teller says there is going to be a two day hold on the check never happened before so why now she argues with me so i tell her im calling customer service doing so a representative says my funds will be available byam the following morning well they werent back on the phone with customer service the next morning and they cant do anything about it only the branch can i will be removing my funds to another bank as soon as they are available and never refer this bank to anyone","unknown","negative"
"if i could give negative stars i would this bank has ayes one hundred thirty five dollars interest in my house with an equity line and when i come in to get an insurance check endorsed for a roof they make it as difficult as possible the manager is on lunch every single time i come in and this is the third time when my husband asked her about coming in on a saturday when the branch is open she said well i may not be here i have a personal issue to handle unreal and of course no one else that works here can do anything","joy","negative"
"ve been a client of bbt since august ofrecently i have been tight on money i decided to finally overdraft my account in order to pay for my siblings to go on their first field trips theyre in elementary school bbt charged me aoverdraft fee not once but twice i called and tried to get all of this sorted several times and noticed my bank had once again had money taken out i have been chargedper phone call ive made with them plus anotheroverdraft fee because my account balance was negative for five consecutive days i called and tried to get the fees waived but they only allowed one and wont allow another for two years i recommend finding another place to bank completely unless youre trying for savings","sadness","negative"
